0.005380 1.976681e+04  1.709914e+04 6.930021e+03
0.005400 1.986404e+04  1.716271e+04 6.955783e+03
0.005420 1.995989e+04  1.722627e+04 6.981545e+03
0.005440 2.005740e+04  1.728984e+04 7.007307e+03
0.005460 2.014015e+04  1.735340e+04 7.033070e+03
0.005480 2.024670e+04  1.741697e+04 7.058832e+03
0.005500 2.034415e+04  1.748053e+04 7.084594e+03
0.005520 2.043486e+04  1.754410e+04 7.110356e+03
0.005540 2.053750e+04  1.760767e+04 7.136118e+03
0.005560 2.062140e+04  1.767123e+04 7.161880e+03
0.005580 2.071974e+04  1.773480e+04 7.187642e+03
0.005600 2.080395e+04  1.779836e+04 7.213405e+03
0.005620 2.091029e+04  1.786193e+04 7.239167e+03
0.005640 2.099954e+04  1.792549e+04 7.264929e+03
0.005660 2.107296e+04  1.798906e+04 7.290691e+03
0.005680 2.116279e+04  1.805262e+04 7.316453e+03
0.005700 2.122818e+04  1.811619e+04 7.342215e+03
0.005720 2.131881e+04  1.817976e+04 7.367978e+03
0.005740 2.141071e+04  1.824332e+04 7.393740e+03
0.005760 2.148499e+04  1.830689e+04 7.419502e+03
0.005780 2.156500e+04  1.837045e+04 7.445264e+03
0.005800 2.163901e+04  1.843402e+04 7.471026e+03
0.005820 2.173618e+04  1.849758e+04 7.496788e+03
0.005840 2.181165e+04  1.856115e+04 7.522551e+03
0.005860 2.189974e+04  1.862472e+04 7.548313e+03
0.005880 2.199086e+04  1.868828e+04 7.574075e+03
0.005900 2.206540e+04  1.875185e+04 7.599837e+03
0.005920 2.215648e+04  1.881541e+04 7.625599e+03
0.005940 2.223931e+04  1.887898e+04 7.651361e+03
0.005960 2.233671e+04  1.894254e+04 7.677123e+03
0.005980 2.241083e+04  1.900611e+04 7.702886e+03
0.006000 2.250532e+04  1.906967e+04 7.728648e+03
0.006020 2.260357e+04  1.913324e+04 7.754410e+03
0.006040 2.269055e+04  1.919681e+04 7.780172e+03
0.006060 2.278915e+04  1.926037e+04 7.805934e+03
0.006080 2.287216e+04  1.932394e+04 7.831696e+03
0.006100 2.297423e+04  1.938750e+04 7.857459e+03
