0.005880 8.990400e+03  4.660682e+03 1.888903e+03
0.005900 9.062292e+03  4.676535e+03 1.895328e+03
0.005920 9.122703e+03  4.692388e+03 1.901753e+03
0.005940 9.188138e+03  4.708240e+03 1.908178e+03
0.005960 9.220603e+03  4.724093e+03 1.914603e+03
0.005980 9.291128e+03  4.739946e+03 1.921028e+03
0.006000 9.341897e+03  4.755798e+03 1.927452e+03
0.006020 9.401506e+03  4.771651e+03 1.933877e+03
0.006040 9.513230e+03  4.787504e+03 1.940302e+03
0.006060 9.591135e+03  4.803356e+03 1.946727e+03
0.006080 9.637554e+03  4.819209e+03 1.953152e+03
0.006100 9.668582e+03  4.835062e+03 1.959577e+03
